Number, Artist-Video Title, Video ID, Duration of Video
0,Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,w2Ov5jzm3j8,0 days 00:05:09
1,Khalid - Talk (Official Video),hE2Ira-Cwxo,0 days 00:03:14
2,Ed Sheeran & Justin Bieber - I Don't Care [Official Video],y83x7MgzWOA,0 days 00:03:43
3,Drake - Money In The Grave (Music Video) ft. Rick Ross,_xaininqyEE,0 days 00:03:25
4,"Post Malone - ""Wow."" (Official Music Video)",393C3pr2ioY,0 days 00:02:38
5,Dababy - Suge (Yea Yea) Official Music Video,KvuQNNVrbtM,0 days 00:03:45
6,Chris Brown - No Guidance (Official Video) ft. Drake,6L_k74BOLag,0 days 00:09:07
7,Lizzo - Truth Hurts (Official Video),P00HMxdsVZI,0 days 00:03:02
8,Ava Max - Sweet but Psycho [Official Music Video],WXBHCQYxwr0,0 days 00:03:28
9,Polo G Feat. Lil Tjay - Pop Out By. Ryan Lynch Prod. By JDONTHATRACK  & Iceberg,g-uW3I_AtDE,0 days 00:03:01
10,Marshmello ft. Bastille - Happier (Official Music Video),m7Bc3pLyij0,0 days 00:03:54
11,Blake Shelton - God's Country (Official Music Video),ZEWGyyLiqY4,0 days 00:03:28
12,Panic! At The Disco - High Hopes (Official Video),IPXIgEAGe4U,0 days 00:03:17
13,"Panic! At The Disco: Hey Look Ma, I Made It [OFFICIAL VIDEO]",BzbxacRr5Gk,0 days 00:03:06
14,Lee Brice - Rumor,ObptpVRe6ek,0 days 00:03:43
15,Young Thug - The London ft. J. Cole & Travis Scott [Official Video],G8Hp-AKrfm0,0 days 00:03:26
16,Daddy Yankee & Snow - Con Calma (Video Oficial),DiItGE3eAyQ,0 days 00:03:31
17,Luke Combs - Beer Never Broke My Heart (Official Video),7Lb9dq-JZFI,0 days 00:03:43
18,"benny blanco, Halsey & Khalid  Eastside (official video)",56WBK4ZK_cw,0 days 00:02:55
19,Meek Mill - Going Bad feat. Drake (Official Video),S1gp0m4B5p8,0 days 00:04:25
20,Omert,csd3AIPrxs8,0 days 00:03:40
21,EARFQUAKE,HmAsUQEFYGI,0 days 00:04:27
22,Khalid - Better (Official Video),x3bfa3DZ8JM,0 days 00:04:11
23,A Boogie Wit Da Hoodie - Look Back At It [Official Video],RWDXD8tAkPo,0 days 00:03:50
24,Travis Scott - SICKO MODE ft. Drake (Official Video),6ONRf7h3Mdk,0 days 00:05:23
25,Dan + Shay - Speechless (Wedding Video),7UoP9ABJXGE,0 days 00:03:35
26,Ed Sheeran - Cross Me (feat. Chance The Rapper & PnB Rock) [Official Video],S5n9emOr7SQ,0 days 00:03:35
27,Calboy - Envy Me (Official Video),FhPvceQcfzE,0 days 00:01:56
28,Kane Brown - Good as You (Official Music Video),mS3TeZEp_PE,0 days 00:03:38
29,Blanco Brown - The Git Up (Dance Video),Q7U6AoZ27yE,0 days 00:03:33
30,Lil Tecca - Ransom (Dir. by @_ColeBennett_),1XzY2ij_vL4,0 days 00:02:28
31,DJ Khaled - Just Us (Official Video) ft. SZA,uzaQ37EYJ1k,0 days 00:03:46
32,P!nk - Walk Me Home (Official Video),J1OsKJW51HY,0 days 00:03:17
33,Cardi B & Bruno Mars - Please Me (Official Video),3y-O-4IL-PU,0 days 00:03:52
34,Cardi B - Press [Official Music Video],cJc7xWJbwJw,0 days 00:03:32
35,Maren Morris - GIRL,X0vXCY-h9ks,0 days 00:04:32
36,Meek Mill - 24/7 feat. Ella Mai [Official Audio],BNy4hbCvbVo,0 days 00:03:42
37,Dan + Shay - All To Myself (Shadow Video),t4fYLsTxuEk,0 days 00:02:50
38,NLE Choppa - Shotta Flow (Official Music Video),3W0e7aI0gAg,0 days 00:02:53
39,Callata - Bad Bunny ( Video Oficial ),acEOASYioGY,0 days 00:04:12
40,Jason Aldean - Rearview Town (Official Music Video),WEUUvntknTI,0 days 00:03:11
41,"Brett Eldredge - ""Love Someone"" (The Edgar Cut)",MPty-nLtcAc,0 days 00:03:32
42,Beyonc - Before I Let Go (Video),PtqbTffx0bg,0 days 00:03:57
43,"DJ Khaled - Wish Wish (Official Video) ft. Cardi B, 21 Savage",Oq8z-U3bPgo,0 days 00:03:23
44,"Dreamville - Down Bad feat. J.I.D, Bas, J. Cole, EarthGang, & Young Nudy (Official Music Video)",lIM1hejXzhw,0 days 00:03:04
45,Chase Rice - Eyes On You,VkloKZmQ3o4,0 days 00:03:11
46,Lunay - Soltera Ft Chris Jeday & Gaby Music ( Video Oficial ),YZxmoOvqWek,0 days 00:03:37
47,Lil Uzi Vert - Sanguine Paradise [Official Music Video],Je2OItlb4pY,0 days 00:04:14
48,Marshmello - Here With Me Feat. CHVRCHES (Official Music Video),J3UXp9jIr-U,0 days 00:02:46
49,Joji - Sanctuary (Official Video),YWN81V7ojOE,0 days 00:03:12
50,Sech - Otro Trago ft. Darell (Video Oficial),t_qn-f7XfJo,0 days 00:03:51
51,The Chainsmokers - Call You Mine (Official Video) ft. Bebe Rexha,3XCVM3G3pns,0 days 00:03:38
52,Chris Young - Raised on Country (Official Video),FSaSEBidLrE,0 days 00:03:03
53,Billie Eilish - Ocean Eyes (Official Music Video),viimfQi_pUw,0 days 00:03:21
54,"Yella Beezy, Quavo, Gucci Mane ""Bacc At It Again"" (Official Music Video)",MBiQVjt7Rjc,0 days 00:03:46
55,"Pedro Cap, Farruko - Calma (Remix - Official Video)",1_zgKRBrT0Y,0 days 00:03:58
56,Travis Scott - WAKE UP,yChnkXhauwM,0 days 00:03:02
57,Bryce Vine - La La Land ft. YG [Official Music Video],dgpPCnLlH9g,0 days 00:03:12
58,Marshmello - Rescue Me ft. A Day To Remember (Official Music Video),lPDw1QexVy4,0 days 00:04:13
59,Megan Thee Stallion - Big Ole Freak [Official Video],oBYf6gpVvRA,0 days 00:03:41
60,Te Robar - Nicky Jam x Ozuna  | Video Oficial,aA_kuFTV-P8,0 days 00:03:24
61,Ozuna- BAILA BAILA BAILA (Video Oficial),32F2d-wj4Xw,0 days 00:03:28
62,Ali Gatie - It's You (Official Music Video),F-cO2CMue4Q,0 days 00:03:41
63,Juice WRLD - Robbery (Dir. by @_ColeBennett_),iI34LYmJ1Fs,0 days 00:03:38
64,Nipsey Hussle - Racks In The Middle (feat. Roddy Ricch & Hit-Boy),PAcGg_4KKYs,0 days 00:04:07
65,DaBaby  ROCKSTAR FT RODDY RICCH [Audio],83xBPCw5hh4,0 days 00:03:02
66,Lil Baby - The Bigger Picture (Official Music Video),_VDGysJGNoI,0 days 00:04:17
67,Megan Thee Stallion - Savage Remix (feat. Beyonc) [Official Audio],lEIqjoO0-Bs,0 days 00:04:02
68,Doja Cat - Say So (Official Video),pok8H_KF1FA,0 days 00:03:56
69,SAINt JHN - Roses (Imanbek Remix) (Official Music Video),2zToEPpFEN8,0 days 00:02:58
70,Roddy Ricch - The Box [Official Music Video],UNZqm3dxd2w,0 days 00:03:33
71,Lil Mosey - Blueberry Faygo (Dir. by @_ColeBennett_),V_jHc_n0p9c,0 days 00:03:01
72,Dua Lipa - Don't Start Now (Official Music Video),oygrmJFKYZY,0 days 00:03:02
73,Maren Morris - The Bones (Official Video),gvPMVKUI9go,0 days 00:03:17
74,Harry Styles - Adore You (Official Video),VF-r5TtlT9w,0 days 00:03:39
75,Future - Life Is Good (Official Music Video) ft. Drake,l0U7SxXHkPY,0 days 00:05:36
76,"Jack Harlow - WHATS POPPIN feat. Dababy, Tory Lanez, & Lil Wayne [Official Music Video]",HIwAI05Y1fU,0 days 00:03:48
77,Harry Styles - Watermelon Sugar (Official Video),E07s5ZYygMg,0 days 00:03:09
78,Trevor Daniel - Falling (Official Music Video),L7mfjvdnPno,0 days 00:02:40
79,Surfaces - Sunday Best (Official Music Video),_83KqwEEGw4,0 days 00:02:57
80,StaySolidRocky- Party Girl (Official Music Video),1KlNDZpCkHc,0 days 00:02:30
81,Gabby Barrett - I Hope (Official Music Video),qcCH6JpcK5w,0 days 00:03:43
82,Powfu - death bed (coffee for your head) (Official Video) ft. beabadoobee,jJPMnTXl63E,0 days 00:02:54
83,Dua Lipa - Break My Heart (Official Video),Nj2U6rhnucI,0 days 00:03:50
84,Roddy Ricch - High Fashion (feat. Mustard) [Official Audio],iGU66wsjIPA,0 days 00:03:41
85,Morgan Wallen - Chasin' You (Dream Video),iBduQb1S-4s,0 days 00:03:36
86,"THE SCOTTS, Travis Scott, Kid Cudi - THE SCOTTS (FORTNITE ASTRONOMICAL EVENT)",8oaW16lGNxE,0 days 00:02:48
87,Miranda Lambert - Bluebird (Official Video),nUB8ogvze_8,0 days 00:03:34
88,"Chris Brown, Young Thug - Go Crazy (Official Video)",dPhwbZBvW2o,0 days 00:03:31
89,6IX9INE- GOOBA (Official Music Video),pPw_izFr5PA,0 days 00:02:29
90,NLE Choppa - Walk Em Down feat. Roddy Ricch (Official Music Video),fyIcQ1Xl-rs,0 days 00:02:56
91,Marshmello & Halsey - Be Kind (Official Music Video),ePao0cTGG-o,0 days 00:03:05
92,Luke Combs - Does To Me (Official Video) ft. Eric Church,37IHlU8NpAI,0 days 00:03:43
93,Blake Shelton - Nobody But You (Duet with Gwen Stefani) (Official Music Video),4h9o0Gujuoc,0 days 00:03:15
94,Kenny Chesney - Here And Now (Official Music Video),BPYrX7m5Vcs,0 days 00:02:55
95,Diplo presents: Thomas Wesley - Heartless feat. Morgan Wallen (Official Music Video),LOQnx1HBmiI,0 days 00:02:54
96,POP SMOKE - DIOR (OFFICIAL VIDEO),oorVWW9ywG0,0 days 00:02:53
97,blackbear - hot girl bummer [Low Budget Video],yMlKJGKyoCo,0 days 00:03:09
98,"The Kid LAROI, Juice WRLD - GO (Official Video)",ZD6C498MB4U,0 days 00:03:43
99,NLE Choppa - Shotta Flow 5 (Dir. by @_ColeBennett_),BUJ_hyOMIq8,0 days 00:03:18
